n_components,variance_explained,mse,r2
Original,1.0,0.000754950590241292,-0.8265657325660383
2,0.5441544487578118,0.0008916968230871606,-1.1574165010831252
3,0.6527696549403568,0.0009842922923637017,-1.381446673862174
5,0.7955433162577294,0.000931315037015996,-1.2532708164294482
7,0.8873369500118603,0.0008904845540436686,-1.1544834758996023
10,0.9698858386088817,0.0008579851143428467,-1.0758526838286349
15,0.9993403607456909,0.0008114645467744113,-0.9632984641506703
